"Year","Locationabbr","Locationdesc","Class","Topic","Question","Response","Break_Out","Break_Out_Category","Sample_Size","Data_value","Confidence_limit_Low","Confidence_limit_High","Display_order","Data_value_unit","Data_value_type","Data_Value_Footnote_Symbol","Data_Value_Footnote","DataSource","ClassId","TopicId","LocationID","BreakoutID","BreakOutCategoryID","QuestionID","ResponseID","GeoLocation"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","65+","Age Group","3,443","85.4","83.7","87.1","18","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","AGE09","CAT3","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","White, non-Hispanic","Race/Ethnicity","1,368","22.3","20.8","23.8","19","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","RACE01","CAT4","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","White, non-Hispanic","Race/Ethnicity","4,889","77.7","76.2","79.2","20","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","RACE01","CAT4","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Black, non-Hispanic","Race/Ethnicity","128","16.4","12.7","20.1","21","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","RACE02","CAT4","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","Black, non-Hispanic","Race/Ethnicity","597","83.6","79.9","87.3","22","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","RACE02","CAT4","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","American Indian or Alaskan Native, non-Hispanic","Race/Ethnicity","29","28.5","17.0","39.9","23","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","RACE03","CAT4","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","American Indian or Alaskan Native, non-Hispanic","Race/Ethnicity","85","71.5","60.1","83.0","24","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","RACE03","CAT4","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Asian, non-Hispanic","Race/Ethnicity","105","9.0","6.7","11.2","25","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","RACE04","CAT4","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","Asian, non-Hispanic","Race/Ethnicity","832","91.0","88.8","93.3","26","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","RACE04","CAT4","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Native Hawaiian or other Pacific Islander, non-Hispanic","Race/Ethnicity","6",,,,"27","%","Crude Prevalence","*","Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.","BRFSS","CLASS03","TOPIC17","06","RACE05","CAT4","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","Native Hawaiian or other Pacific Islander, non-Hispanic","Race/Ethnicity","43",,,,"28","%","Crude Prevalence","*","Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.","BRFSS","CLASS03","TOPIC17","06","RACE05","CAT4","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Other, non-Hispanic","Race/Ethnicity","21",,,,"29","%","Crude Prevalence","*","Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.","BRFSS","CLASS03","TOPIC17","06","RACE06","CAT4","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","Other, non-Hispanic","Race/Ethnicity","89","80.3","66.1","94.5","30","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","RACE06","CAT4","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Multiracial, non-Hispanic","Race/Ethnicity","73","29.5","21.1","38.0","31","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","RACE07","CAT4","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","Multiracial, non-Hispanic","Race/Ethnicity","198","70.5","62.0","78.9","32","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","RACE07","CAT4","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Hispanic","Race/Ethnicity","542","14.4","13.0","15.9","33","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","RACE08","CAT4","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","Hispanic","Race/Ethnicity","2,853","85.6","84.1","87.0","34","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","RACE08","CAT4","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Less than H.S.","Education Attained","160","10.4","8.5","12.4","35","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","EDUCA1","CAT5","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","Less than H.S.","Education Attained","1,035","89.6","87.6","91.5","36","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","EDUCA1","CAT5","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","H.S. or G.E.D.","Education Attained","429","18.8","16.6","21.0","37","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","EDUCA2","CAT5","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","H.S. or G.E.D.","Education Attained","1,785","81.2","79.0","83.4","38","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","EDUCA2","CAT5","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Some post-H.S.","Education Attained","704","21.2","19.1","23.2","39","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","EDUCA3","CAT5","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","Some post-H.S.","Education Attained","2,310","78.8","76.8","80.9","40","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","EDUCA3","CAT5","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","College graduate","Education Attained","969","15.1","13.8","16.5","41","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","EDUCA4","CAT5","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","College graduate","Education Attained","4,389","84.9","83.5","86.2","42","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","EDUCA4","CAT5","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Less than $15,000","Household Income","185","22.6","18.4","26.8","43","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","INCOME01","CAT6","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","Less than $15,000","Household Income","425","77.4","73.2","81.6","44","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","INCOME01","CAT6","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","$15,000-$24,999","Household Income","244","22.1","18.3","25.9","45","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","INCOME02","CAT6","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","$15,000-$24,999","Household Income","751","77.9","74.1","81.7","46","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","INCOME02","CAT6","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","$25,000-$34,999","Household Income","225","18.0","14.9","21.0","47","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","INCOME03","CAT6","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","$25,000-$34,999","Household Income","880","82.0","79.0","85.1","48","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","INCOME03","CAT6","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","$35,000-$49,999","Household Income","214","16.3","13.4","19.1","49","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","INCOME04","CAT6","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","$35,000-$49,999","Household Income","887","83.7","80.9","86.6","50","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","INCOME04","CAT6","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","$50,000-$99,999","Household Income","452","18.1","15.8","20.5","51","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","INCOME05","CAT6","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","$50,000-$99,999","Household Income","1,817","81.9","79.5","84.2","52","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","INCOME05","CAT6","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","$100,000-$199,999","Household Income","369","16.3","14.0","18.5","53","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","INCOME06","CAT6","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","$100,000-$199,999","Household Income","1,644","83.7","81.5","86.0","54","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","INCOME06","CAT6","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","$200,000+","Household Income","145","13.4","10.4","16.5","55","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","INCOME07","CAT6","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","$200,000+","Household Income","888","86.6","83.5","89.6","56","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","INCOME07","CAT6","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","Yes","Overall","Overall","3,087","30.1","28.7","31.4","3,662","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","BO1","CAT1","_PASTAE3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","No","Overall","Overall","7,005","69.9","68.6","71.3","3,663","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","BO1","CAT1","_PASTAE3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","Yes","Male","Sex","1,747","34.3","32.3","36.2","3,664","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","SEX1","CAT2","_PASTAE3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","No","Male","Sex","3,471","65.7","63.8","67.7","3,665","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","SEX1","CAT2","_PASTAE3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","Yes","Female","Sex","1,340","25.9","24.0","27.8","3,666","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","SEX2","CAT2","_PASTAE3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","No","Female","Sex","3,534","74.1","72.2","76.0","3,667","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","SEX2","CAT2","_PASTAE3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","Yes","18-24","Age Group","314","34.9","30.8","38.9","3,668","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","AGE01","CAT3","_PASTAE3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","No","18-24","Age Group","529","65.1","61.1","69.2","3,669","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","AGE01","CAT3","_PASTAE3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","Yes","25-34","Age Group","452","29.8","26.7","32.9","3,670","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","AGE02","CAT3","_PASTAE3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Physical Activity","Physical Activity Index","Participated in enough Aerobic and Muscle Strengthening exercises to meet guidelines (variable calculated from one or more BRFSS questions)","No","25-34","Age Group","970","70.2","67.1","73.3","3,671","%","Crude Prevalence",,,"BRFSS","CLASS15","TOPIC45","06","AGE02","CAT3","_PASTAE3","RESP054","    (37.63864012300047, -120.99999953799971)"
